iter,t_iter_ms,t_obj_ms,t_precond_ms,t_steihaug_ms,t_choose_ms,t_evalnew_ms
1,7841.2158489227295,12367.16914176941,1088.5660648345947,2757.7431201934814,2212.069034576416,71.86198234558105
2,2793.992042541504,329.29515838623047,44.059038162231445,510.38503646850586,537.344217300415,71.20108604431152
3,9235.939025878906,360.6829643249512,2.6679039001464844,7753.405809402466,511.93904876708984,72.23105430603027
4,11931.626081466675,333.30607414245605,3.3969879150390625,10456.831932067871,523.8320827484131,73.12607765197754
5,12565.589904785156,341.3419723510742,3.3609867095947266,11082.543849945068,524.5580673217773,76.20882987976074
6,12694.878101348877,337.4781608581543,4.446983337402344,10714.723110198975,537.3618602752686,74.82409477233887
7,12390.055894851685,344.1967964172363,3.573894500732422,10876.235008239746,543.5419082641602,74.55801963806152
8,12401.694059371948,341.95899963378906,3.6139488220214844,10888.919115066528,541.2068367004395,75.85382461547852
9,12498.509883880615,347.02181816101074,3.515958786010742,10973.592042922974,549.2520332336426,75.69694519042969
10,12990.89789390564,352.5230884552002,3.44085693359375,11463.351964950562,539.1170978546143,75.22201538085938
11,12558.441162109375,350.8460521697998,3.4499168395996094,11020.885944366455,559.9231719970703,76.30586624145508
12,12562.73603439331,341.94111824035645,3.674030303955078,11028.284072875977,560.3790283203125,75.75416564941406
13,12578.688859939575,342.18382835388184,3.3669471740722656,11044.612884521484,551.063060760498,76.01284980773926
14,12630.252122879028,353.20401191711426,3.6950111389160156,11086.343050003052,548.7451553344727,77.47507095336914
15,12969.135046005249,344.3009853363037,3.506183624267578,11085.733890533447,551.5599250793457,429.48389053344727
16,12640.67792892456,343.78504753112793,3.370046615600586,11112.889051437378,545.9098815917969,75.86789131164551
17,12658.4792137146,345.7331657409668,3.345966339111328,11108.30020904541,554.8300743103027,76.43795013427734
18,12685.016870498657,351.17292404174805,3.3249855041503906,11134.114027023315,553.7381172180176,75.93703269958496
19,13070.772886276245,351.26590728759766,3.381967544555664,11126.702070236206,970.6850051879883,72.76487350463867
20,12660.330057144165,349.682092666626,3.269195556640625,11115.617036819458,548.2780933380127,76.42292976379395
