iter,t_iter_ms,t_obj_ms,t_precond_ms,t_steihaug_ms,t_choose_ms,t_evalnew_ms
1,7931.54501914978,11215.198040008545,1107.6982021331787,3086.6310596466064,1764.4879817962646,75.75392723083496
2,3207.9930305480957,772.3650932312012,2.067089080810547,705.4839134216309,518.0089473724365,73.6391544342041
3,10212.838172912598,360.6221675872803,2.1560192108154297,8714.170217514038,526.6580581665039,72.15619087219238
4,13894.179105758667,330.8110237121582,2.0401477813720703,12410.063028335571,529.6859741210938,75.05011558532715
5,14403.12910079956,332.39197731018066,2.073049545288086,12880.231857299805,560.0578784942627,74.17082786560059
6,14376.552104949951,335.3910446166992,2.0477771759033203,12860.80002784729,547.1599102020264,74.30195808410645
7,14372.212171554565,336.9901180267334,2.113819122314453,12858.81495475769,538.646936416626,75.68192481994629
8,13926.141023635864,341.0789966583252,2.0339488983154297,12393.126010894775,552.3409843444824,76.25794410705566
9,13889.240026473999,336.49301528930664,2.14385986328125,12360.392093658447,552.1550178527832,74.69391822814941
10,14779.556035995483,341.72511100769043,2.0720958709716797,13227.228164672852,561.2790584564209,75.72603225708008
11,14124.345064163208,348.0651378631592,2.0351409912109375,12568.663835525513,555.0448894500732,74.77998733520508
12,14398.07915687561,340.5261039733887,2.0749568939208984,12850.67105293274,553.2469749450684,75.30093193054199
13,14252.110004425049,348.25587272644043,2.0401477813720703,12623.37589263916,625.7228851318359,77.72183418273926
14,14808.972120285034,347.82910346984863,2.0318031311035156,13258.386850357056,550.3699779510498,76.6758918762207
15,14625.832080841064,354.82096672058105,2.0198822021484375,13064.664840698242,552.1759986877441,76.96890830993652
16,14465.03496170044,342.6539897918701,2.0399093627929688,12922.88088798523,549.0751266479492,76.6599178314209
17,14434.11111831665,349.8110771179199,2.0401477813720703,12870.72205543518,559.6249103546143,74.90396499633789
18,14768.599033355713,350.6810665130615,2.190113067626953,13212.697982788086,551.3620376586914,76.49588584899902
19,14583.500862121582,341.39394760131836,2.0499229431152344,13022.211074829102,561.6781711578369,75.96087455749512
20,13989.603996276855,341.6109085083008,2.0339488983154297,12442.538976669312,551.699161529541,76.75313949584961
