iteration,Single GPU_T1_RMSRE,Single GPU_T2_RMSRE,2 GPUs_T1_RMSRE,2 GPUs_T2_RMSRE,4 GPUs_T1_RMSRE,4 GPUs_T2_RMSRE,6 GPUs_T1_RMSRE,6 GPUs_T2_RMSRE,8 GPUs_T1_RMSRE,8 GPUs_T2_RMSRE
0,0.4163049061225964,0.6397181911548055,0.4163049061225964,0.6397181911548055,0.4163049061225964,0.6397181911548055,0.4163049061225964,0.6397181911548055,0.4163049061225964,0.6397181911548055
1,0.32033293085999326,0.25052343981148856,0.3203326302555033,0.25052240557944655,0.3203329916380159,0.2505229512846969,0.32033300452679175,0.2505229636927454,0.32033298050072295,0.2505229133025546
2,0.24172451900521524,0.24314357831400238,0.24171016049177102,0.24314424312518446,0.24170500657743244,0.24311677402751294,0.24174865898495215,0.24313092441851683,0.24172970682608472,0.24313036647164174
3,0.23398390402048203,0.4182899469918061,0.23306360834681772,0.4185692911681847,0.23440908035764704,0.41813922256395314,0.2370778592275281,0.41747103620907505,0.2335180959251264,0.4183794245584013
4,0.1375732133177462,0.517855624578684,0.137670823861823,0.5173783508510933,0.13733388808677485,0.5185270752677532,0.13678221435160837,0.5200531411544965,0.13746450156938544,0.5181417532519188
5,0.15598498483385156,0.33948603227638907,0.15630358643978864,0.3377661617305636,0.15628631271660445,0.3398118379123806,0.157286129651408,0.3412986871345324,0.1562624875269068,0.3386684547868848
6,0.1621543053941941,0.3237330357613494,0.16203766472652345,0.32425942672136426,0.16182089938170616,0.3241137851232974,0.1617362358935671,0.3211213128992066,0.16199313451752342,0.3227776474315357
7,0.16484192061731162,0.31736555370969477,0.16437675977802946,0.3174784584057705,0.16386233918439252,0.3176252535424687,0.16444033786098342,0.3186938930397602,0.1657541121971853,0.3175747724288946
8,0.1669011172400747,0.31101605717430464,0.16772121416385638,0.31090094640191474,0.16737393010910828,0.3111556350314125,0.16762625915084994,0.31066176654939204,0.1681707588158696,0.3101553245127406
9,0.1707100249834294,0.31301030094430365,0.16981810250346208,0.3119643991429538,0.17015496289561452,0.3128446938679275,0.1699429858631497,0.31308484902549427,0.17037776046462977,0.31272825769811546
10,0.17193241498516387,0.3107916890254423,0.17193132514362852,0.31144319290001626,0.17223984420288418,0.31135403351968494,0.17206385602740054,0.3107934350618716,0.17237547204538334,0.3111372775912273
11,0.1735446280214191,0.31303777995943416,0.17333146039459976,0.31289147407149764,0.17352753721517217,0.31281553612935337,0.17332952654804612,0.3128452612427406,0.17388607088700572,0.31317063233058107
12,0.17468254429954652,0.31289096337930095,0.1748422524040677,0.3130579901730569,0.1749674461510557,0.3129211754196373,0.1748319012900591,0.3127468576905991,0.17508866017605174,0.3131353730342761
13,0.17572316751733866,0.31452427762117613,0.17579088081702776,0.3144246595315298,0.17580539812979531,0.31458890213182206,0.17569616139617747,0.31433288424205336,0.1760400101072438,0.3147204159058686
14,0.17663624855084728,0.3150706374547974,0.17669655908214912,0.31507358572170235,0.17657557789215397,0.31496502510611657,0.17660815228749224,0.3148597280569889,0.1768046520564769,0.3152413331742723
15,0.1771959220479979,0.3163212649742632,0.17723250000610838,0.31627694558061487,0.1773092397020357,0.31635838204018507,0.17717313028249373,0.3160719703680266,0.17744640594035035,0.3163704513033968
16,0.17782434407929312,0.3168683995228629,0.17789101831948995,0.31694026622390126,0.17777250520007656,0.3168170183995436,0.17772843630092178,0.31665083135948174,0.17784553819434504,0.3168430217750845
17,0.17818867611387076,0.31767369811030133,0.1781324117353498,0.31757699484229096,0.1783495651135717,0.31796058795365956,0.17804266998416654,0.31737760637711915,0.17828970635051358,0.3179660734726555
18,0.17853004473651832,0.3183893181371676,0.1787220577348144,0.31852014181197724,0.17863159440348778,0.3184303126310147,0.17856753275332637,0.31818102878524207,0.17868317814773332,0.31844504977537913
19,0.1788657089938742,0.31900278072767824,0.1789504865796679,0.31915810328639566,0.17897991230509983,0.3191359039854848,0.17884602803214403,0.3189049897287261,0.17902135911815137,0.31923805407115957
20,0.17914744373414426,0.3195480012430987,0.17926743337702458,0.3197304521625339,0.17916273102558683,0.3196170234335111,0.17917759853589418,0.31950457928063836,0.17925277376483223,0.319687475857428
