config,T1_MARE_pct,T2_MARE_pct
Single GPU,13.776,23.5417
2 GPUs,13.7848,23.5687
4 GPUs,13.7763,23.5543
6 GPUs,13.7779,23.5385
8 GPUs,13.7844,23.5664
