iter,t_iter_ms,t_obj_ms,t_precond_ms,t_steihaug_ms,t_choose_ms,t_evalnew_ms
1,7471.3099002838135,12165.358066558838,1099.8330116271973,3108.8290214538574,1721.3151454925537,74.34487342834473
2,2636.538028717041,323.39000701904297,3.177165985107422,562.0999336242676,512.6121044158936,71.13289833068848
3,8108.988046646118,792.3870086669922,1.7840862274169922,6210.007905960083,508.3811283111572,71.71893119812012
4,13370.933055877686,324.6009349822998,1.9979476928710938,11921.07605934143,515.2378082275391,73.6539363861084
5,13546.188116073608,332.0610523223877,1.9989013671875,12076.606035232544,519.3099975585938,74.54204559326172
6,14488.237142562866,331.8960666656494,2.086162567138672,12998.743057250977,530.4732322692871,75.85287094116211
7,14190.387964248657,337.893009185791,2.040863037109375,12687.958002090454,525.8438587188721,73.63510131835938
8,13427.75011062622,331.7131996154785,2.1200180053710938,11939.188003540039,527.033805847168,74.11503791809082
9,13632.147073745728,345.98493576049805,1.9609928131103516,12123.017072677612,531.2209129333496,73.8520622253418
10,15028.228998184204,335.88504791259766,2.0351409912109375,13523.18811416626,537.2030735015869,75.1349925994873
11,13958.949089050293,346.437931060791,2.343893051147461,12446.256875991821,532.811164855957,74.93996620178223
12,13918.35618019104,334.41901206970215,2.135038375854492,12413.73896598816,541.3877964019775,74.66602325439453
13,14111.220836639404,338.44900131225586,2.0928382873535156,12598.700046539307,539.0019416809082,75.99806785583496
14,14615.86308479309,344.15507316589355,2.0830631256103516,13011.672973632812,627.6600360870361,75.64306259155273
15,14297.176122665405,348.59609603881836,2.0208358764648438,12766.823768615723,536.3528728485107,75.16694068908691
16,13886.19613647461,338.9401435852051,2.2339820861816406,12366.088151931763,535.3250503540039,74.97191429138184
17,14114.706993103027,337.460994720459,2.012014389038086,12599.613904953003,539.4339561462402,76.16806030273438
18,15134.284019470215,343.2281017303467,2.1529197692871094,13176.300048828125,993.6120510101318,74.4330883026123
19,14234.02214050293,349.2100238800049,2.0248889923095703,12715.610980987549,532.8578948974609,75.01983642578125
20,13872.252225875854,341.9981002807617,2.131938934326172,12357.99789428711,538.7740135192871,75.01792907714844
