iter,t_iter_ms,t_obj_ms,t_precond_ms,t_steihaug_ms,t_choose_ms,t_evalnew_ms
1,7801.169872283936,11935.922145843506,1072.3650455474854,2697.0980167388916,2211.905002593994,73.1511116027832
2,2771.921157836914,326.7841339111328,5.108833312988281,503.5109519958496,513.7310028076172,73.87399673461914
3,6514.703989028931,333.65702629089355,3.276824951171875,5088.146924972534,504.072904586792,72.24297523498535
4,12155.853986740112,332.7479362487793,3.265857696533203,10722.723007202148,506.12497329711914,75.3319263458252
5,11722.045183181763,326.5969753265381,3.885030746459961,10274.00517463684,513.8089656829834,73.42290878295898
6,11911.304950714111,331.85601234436035,4.283905029296875,10446.87294960022,525.2680778503418,73.74691963195801
7,12028.840065002441,333.49108695983887,3.5359859466552734,10553.110837936401,523.5941410064697,75.32286643981934
8,12109.979152679443,336.18903160095215,3.4317970275878906,10631.9420337677,522.1590995788574,76.02381706237793
9,12139.76502418518,344.93017196655273,3.3969879150390625,10642.480850219727,539.7660732269287,74.45788383483887
10,12264.607906341553,339.0779495239258,3.7679672241210938,10775.065183639526,528.7890434265137,75.13213157653809
11,12184.262037277222,338.3300304412842,3.4270286560058594,10693.625211715698,531.243085861206,74.8739242553711
12,12239.967107772827,347.50819206237793,3.5448074340820312,10733.393907546997,545.1240539550781,76.04598999023438
13,12220.783948898315,338.43994140625,3.5691261291503906,10727.62417793274,530.2138328552246,76.07603073120117
14,12291.229963302612,344.27499771118164,3.6971569061279297,10783.35189819336,546.4248657226562,76.86805725097656
15,12681.042909622192,344.0570831298828,3.3719539642333984,11176.062107086182,534.7151756286621,75.06704330444336
16,12255.964994430542,347.027063369751,3.4699440002441406,10738.071918487549,543.9550876617432,75.08087158203125
17,12279.006004333496,338.06300163269043,3.5300254821777344,10774.051904678345,547.7800369262695,75.22892951965332
18,12286.064863204956,338.62900733947754,3.712892532348633,10783.781051635742,530.6980609893799,75.65999031066895
19,12324.095964431763,350.54516792297363,3.5049915313720703,10811.454057693481,538.2189750671387,75.70505142211914
20,12727.890014648438,337.7830982208252,3.445148468017578,11222.68795967102,532.5651168823242,75.39200782775879
