ngpus,nnodes,wall_time_s,speedup,efficiency_pct
1,1,256.5,1.0,100.0
2,1,167.18,1.534,76.7
4,1,133.67,1.919,48.0
6,2,169.75,1.511,25.2
8,2,171.63,1.495,18.7
