iter,t_iter_ms,t_obj_ms,t_precond_ms,t_steihaug_ms,t_choose_ms,t_evalnew_ms
1,7166.507959365845,0.0,1121.8822002410889,2493.3700561523438,2369.704008102417,29.71196174621582
2,1242.4731254577637,101.45998001098633,2.7289390563964844,148.54907989501953,158.05506706237793,37.92405128479004
3,2871.738910675049,121.24490737915039,2.0151138305664062,2429.9089908599854,142.7619457244873,26.70907974243164
4,4380.063056945801,277.21095085144043,1.981973648071289,3780.380964279175,145.2159881591797,24.17898178100586
5,3812.42299079895,101.14002227783203,2.7937889099121094,3390.5670642852783,141.6301727294922,25.999069213867188
6,3324.3110179901123,101.78899765014648,2.8519630432128906,2898.5090255737305,142.66180992126465,25.18296241760254
7,4159.077882766724,101.71699523925781,3.0629634857177734,3734.5938682556152,142.68898963928223,25.944948196411133
8,3338.0119800567627,100.03805160522461,3.072023391723633,2916.2840843200684,143.53585243225098,23.724079132080078
9,3359.447956085205,102.53715515136719,2.4499893188476562,2928.6389350891113,143.82314682006836,25.989055633544922
10,4593.356132507324,104.01320457458496,2.8688907623291016,3811.0690116882324,146.1050510406494,25.35104751586914
11,3736.100912094116,100.46792030334473,2.708911895751953,3307.749032974243,146.07906341552734,24.899959564208984
12,3810.0690841674805,102.61797904968262,2.941131591796875,3377.9211044311523,145.8578109741211,24.198055267333984
13,3386.378049850464,101.29809379577637,2.858877182006836,2953.411102294922,144.49501037597656,25.098085403442383
14,3839.132070541382,103.76906394958496,2.958059310913086,3406.1408042907715,144.47498321533203,26.11708641052246
15,4304.156064987183,105.05509376525879,7.817983627319336,3014.146089553833,144.93894577026367,439.0721321105957
16,3815.138101577759,102.19597816467285,3.6389827728271484,3379.624843597412,146.21782302856445,24.61099624633789
17,3402.647018432617,100.62599182128906,2.7618408203125,2969.0871238708496,146.11482620239258,24.076223373413086
18,4154.911041259766,102.78105735778809,2.807140350341797,3716.3820266723633,148.13494682312012,26.12900733947754
19,3879.4047832489014,101.77493095397949,3.013134002685547,3444.5810317993164,146.16799354553223,23.87094497680664
20,3852.189064025879,102.03003883361816,2.905130386352539,3415.2770042419434,147.37391471862793,24.267911911010742
