iter,t_iter_ms,t_obj_ms,t_precond_ms,t_steihaug_ms,t_choose_ms,t_evalnew_ms
1,6762.076139450073,0.0,984.3590259552002,2165.818929672241,1732.9521179199219,555.225133895874
2,4353.339910507202,1487.1258735656738,3.208160400390625,813.5550022125244,380.2371025085449,560.9819889068604
3,4405.583143234253,1486.4330291748047,4.038095474243164,1588.2959365844727,383.4390640258789,561.0089302062988
4,4379.976987838745,1495.1491355895996,3.944873809814453,1558.6259365081787,382.60602951049805,560.2848529815674
